,purpose,int.rate,installment,annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
161,home_improvement,0.1352,563.39,108637.98,17.62,744,4399,92747.0,43.1,0,0,0,0
162,credit_card,0.1365,331.57,153777.79,13.92,676,5814,59161.0,54.2,3,0,0,0
163,credit_card,0.1052,69.54,99861.17,17.02,707,8239,11203.0,7.9,0,3,0,0
164,debt_consolidation,0.0983,409.42,67938.41,21.9,761,4470,18814.0,9.8,0,0,0,0
165,major_purchase,0.097,229.44,55010.52,13.54,748,4544,1272.0,10.1,6,0,0,0
166,small_business,0.0918,153.38,89547.25,4.76,787,3463,3010.0,26.0,0,0,1,0
167,all_other,0.0983,61.39,19211.59,4.61,721,3301,418.0,36.5,0,0,0,0
168,educational,0.0794,198.73,69337.22,12.57,743,10348,49764.0,4.7,1,0,0,0
169,credit_card,0.1424,152.21,71421.74,14.93,712,3510,17956.0,99.9,1,0,0,0
170,all_other,0.0852,65.8,300746.15,4.46,764,9894,4713.0,45.8,1,0,0,0
171,home_improvement,0.0944,392.7,105615.86,4.85,723,4536,55994.0,19.7,0,0,0,0
172,all_other,0.0972,110.04,73340.32,13.06,723,4171,19634.0,15.1,0,0,0,0
173,all_other,0.0707,68.42,37735.02,8.51,800,4712,4460.0,12.4,2,0,0,0
174,major_purchase,0.1234,317.91,28428.69,2.46,732,4099,1714.0,30.2,0,0,1,0
175,educational,0.1033,473.49,74946.59,18.06,672,5404,5336.0,43.7,1,0,0,0
176,educational,0.1549,56.06,27482.07,18.05,650,679,1635.0,61.7,5,0,0,1
177,credit_card,0.1333,231.65,98227.72,10.26,712,2229,13105.0,28.7,2,0,0,0
178,debt_consolidation,0.1719,48.76,67137.74,16.02,653,2474,21768.0,103.9,1,0,0,0
179,debt_consolidation,0.1317,242.37,56475.17,20.38,707,8259,50337.0,58.3,0,0,0,0
180,small_business,0.1302,233.53,363075.12,2.99,766,5944,3802.0,68.3,2,0,0,0
181,credit_card,0.1183,380.75,21902.44,18.21,686,7517,20639.0,75.2,0,0,0,0
182,educational,0.1247,159.26,30127.3,4.79,687,1237,874.0,30.5,1,0,0,0
183,debt_consolidation,0.07,360.68,37214.14,7.31,791,4187,4204.0,20.8,0,0,0,0
184,home_improvement,0.1161,491.42,44915.34,18.83,738,3764,4846.0,8.4,3,0,0,0
185,major_purchase,0.0923,155.92,24334.72,2.48,766,2655,5295.0,12.2,0,0,0,1
186,debt_consolidation,0.1884,155.52,64237.24,18.44,655,6902,5897.0,86.2,4,0,0,0
187,educational,0.1125,408.71,79930.92,15.24,718,5060,25746.0,50.9,0,0,0,0
188,educational,0.1405,337.03,131214.9,9.64,714,3484,38106.0,87.1,1,0,0,0
189,educational,0.1538,119.17,7839.47,13.6,667,2174,3435.0,57.4,0,0,0,0
190,credit_card,0.1304,667.35,197494.83,11.57,725,7689,23209.0,68.0,0,0,0,0
191,debt_consolidation,0.1556,120.04,49869.67,3.12,645,1543,3823.0,81.1,8,0,0,0
192,,0.165,55.83,29801.56,20.32,657,2169,18696.0,55.6,1,0,0,0
193,debt_consolidation,0.1251,641.91,36346.23,4.79,677,1674,7884.0,33.3,0,0,0,0
194,credit_card,0.0677,58.74,50724.41,17.81,770,8541,13571.0,34.8,1,0,0,0
195,educational,0.1504,248.6,38490.23,16.73,696,3831,12494.0,94.0,1,0,0,0
196,educational,0.072,104.77,29378.22,20.46,726,5166,4662.0,42.9,1,0,0,0
197,home_improvement,0.0828,310.91,82855.54,4.06,762,11189,3919.0,11.5,3,0,0,0
198,debt_consolidation,0.1576,639.79,755938.89,13.32,679,5504,31266.0,90.6,0,0,0,0
199,debt_consolidation,0.1375,335.8,56140.5,21.75,688,2652,26727.0,84.1,0,0,0,0
200,credit_card,0.0922,714.11,40580.75,4.51,682,6299,24596.0,42.8,1,0,0,1
201,credit_card,0.1116,531.58,33024.36,7.25,727,3164,2717.0,15.7,1,0,0,0
202,debt_consolidation,0.1212,312.64,69384.75,0.52,691,2973,2542.0,10.1,0,0,0,0
203,debt_consolidation,0.1477,258.27,38869.08,22.18,687,2434,10818.0,78.0,0,1,0,0
204,small_business,0.1169,411.95,100219.8,13.98,742,12306,9144.0,22.4,0,0,0,0
205,all_other,0.1561,136.2,51704.35,4.48,676,4241,10916.0,97.6,1,0,0,0
206,all_other,0.1205,166.98,88275.91,7.56,695,4229,2810.0,37.6,8,0,1,0
207,home_improvement,0.0756,360.31,85355.72,1.42,792,5951,2569.0,0.1,2,0,0,0
208,educational,0.1423,254.4,51012.05,6.79,671,1183,12032.0,85.1,1,3,0,0
209,home_improvement,0.1186,306.76,54235.62,19.57,713,3669,2751.0,40.6,1,0,0,0
210,educational,0.0693,104.67,8017.76,16.21,767,10719,5702.0,75.1,0,0,0,0
211,all_other,0.1607,230.14,67260.34,5.41,652,2420,4517.0,93.1,1,2,0,0
212,debt_consolidation,0.1307,177.73,21828.68,23.14,664,4339,30013.0,65.0,1,1,0,1
213,debt_consolidation,0.1111,195.26,24876.57,12.32,721,6451,2592.0,33.7,0,1,0,0
214,small_business,0.103,876.52,122724.34,0.96,782,6203,3287.0,0.5,0,0,0,0
215,home_improvement,0.1072,702.65,90656.88,3.32,752,5277,2254.0,4.6,2,0,0,0
216,debt_consolidation,0.1408,217.48,47826.51,20.8,677,2385,13247.0,71.7,0,0,0,0
217,major_purchase,0.1183,829.77,49218.59,10.57,701,3119,896.0,5.5,5,1,0,0
218,home_improvement,0.0964,303.81,66468.61,12.82,679,9566,18450.0,72.7,1,1,0,0
219,debt_consolidation,0.0806,165.71,46329.16,12.07,753,3848,2773.0,33.2,0,0,0,0
220,all_other,0.0853,172.42,49514.84,19.88,694,6714,4577.0,65.4,0,0,0,0
221,small_business,0.102,472.84,55971.53,16.18,718,4046,29666.0,49.8,0,0,0,0
222,all_other,0.1433,305.69,141990.39,14.5,676,5645,59188.0,36.6,0,0,0,0
223,small_business,0.1005,208.31,72596.38,9.68,750,4178,2708.0,24.4,4,0,0,0
224,small_business,0.1857,266.22,268121.37,7.9,689,1342,3503.0,80.5,0,0,0,0
225,educational,0.1385,319.65,62081.0,16.01,679,9531,55569.0,54.2,1,0,0,0
226,educational,0.1403,80.14,63848.96,4.48,690,1894,1235.0,67.9,2,0,1,0
227,home_improvement,0.1679,518.87,16112.2,23.45,710,1329,1251.0,60.4,8,0,0,1
228,educational,0.1386,32.8,65465.84,0.11,700,3441,2296.0,34.2,1,0,0,0
229,major_purchase,0.1058,157.61,51349.53,1.36,719,2879,2659.0,8.9,0,0,0,0
230,home_improvement,0.1076,180.5,32754.91,12.62,693,2201,593.0,20.1,2,0,0,0
231,small_business,0.135,425.92,90090.53,14.27,754,7217,69777.0,22.7,0,0,0,0
232,major_purchase,0.1336,243.22,36593.71,4.96,706,2032,2559.0,21.3,2,0,0,0
233,educational,0.0844,24.44,36982.74,3.54,712,5630,5067.0,17.5,1,0,0,0
234,credit_card,0.1636,237.29,30700.83,18.47,681,2447,29211.0,77.6,0,1,0,0
235,home_improvement,0.0736,232.01,167856.86,18.14,748,7050,13804.0,46.3,0,0,0,0
236,home_improvement,0.0943,822.1,180461.03,5.15,779,5351,6563.0,7.0,0,0,0,0
237,small_business,0.1397,411.22,124696.69,3.43,711,6273,6115.0,5.8,0,0,0,1
238,all_other,0.0839,333.45,93697.71,17.34,726,6196,26006.0,59.3,0,0,0,0
239,small_business,0.1521,403.32,99732.63,8.47,683,4339,1327.0,94.5,3,0,0,1
240,educational,0.0729,70.04,54972.3,19.73,749,2287,1514.0,14.4,0,0,0,1
241,educational,0.1236,73.97,37395.45,12.62,655,6033,4645.0,83.7,2,1,1,1
242,debt_consolidation,0.1611,286.11,26211.29,21.65,651,2024,7019.0,55.4,1,0,0,0
243,credit_card,0.1258,47.26,34430.28,21.49,659,1690,17623.0,58.0,0,0,0,0
244,small_business,0.1658,213.92,53310.71,14.02,677,2694,7953.0,98.0,3,0,0,1
245,major_purchase,0.0708,399.97,43079.61,6.63,740,7594,7614.0,39.9,1,0,0,0
246,credit_card,0.1411,426.5,74177.34,4.58,688,3525,11748.0,78.0,1,0,0,0
247,home_improvement,0.1278,212.54,71519.43,5.57,715,6532,2053.0,16.1,1,1,0,0
248,educational,0.1201,220.21,27536.3,3.1,727,2479,10965.0,61.9,0,0,0,0
249,debt_consolidation,0.1473,164.47,41218.37,19.6,654,2446,11486.0,76.8,5,0,0,1
250,all_other,0.0839,198.31,26017.32,13.87,717,4636,8823.0,51.1,0,0,0,0
251,major_purchase,0.1399,624.25,56148.69,1.45,671,1732,5059.0,70.3,5,0,0,0
252,home_improvement,0.1314,135.67,84995.56,6.63,718,5079,13601.0,41.3,2,0,0,0
253,home_improvement,0.091,166.58,102744.44,4.23,728,5566,6369.0,4.2,2,3,0,0
254,credit_card,0.1336,263.93,50252.89,21.17,669,8290,3474.0,45.9,6,0,0,1
255,debt_consolidation,0.1424,217.34,50354.73,9.04,691,5170,1777.0,33.2,1,0,0,0
256,credit_card,0.1438,188.01,34640.29,7.25,642,2346,1344.0,41.4,12,0,0,0
257,home_improvement,0.1493,300.44,150162.57,13.15,679,8273,23571.0,56.0,2,0,0,0
258,home_improvement,0.1808,203.5,69584.67,21.16,681,3106,35686.0,88.6,1,0,0,0
259,educational,0.0839,180.55,13937.92,5.08,732,3040,5539.0,52.6,2,0,0,0
260,credit_card,0.1291,412.15,63709.39,21.4,664,3238,25677.0,62.6,0,0,0,0
261,educational,0.1441,427.13,64561.46,16.56,702,4241,1696.0,17.1,2,0,0,1
262,credit_card,0.096,103.2,90938.68,5.98,702,6132,10372.0,67.1,0,0,0,0
263,home_improvement,0.1513,207.55,33220.72,24.29,707,3238,14051.0,99.7,1,0,0,0
264,all_other,0.0768,94.2,42080.67,1.16,719,3497,1511.0,15.2,5,0,0,0
265,credit_card,0.0797,407.31,54619.64,6.14,783,6343,9408.0,18.3,0,0,0,0
266,debt_consolidation,0.1229,128.15,26193.96,2.94,662,2778,1886.0,19.1,1,0,0,0
267,all_other,0.0784,223.55,32786.9,14.81,744,6855,9134.0,14.5,3,0,0,0
268,,0.1011,155.4,55678.97,24.6,731,4002,7192.0,40.4,0,0,0,0
269,debt_consolidation,0.163,452.69,56806.54,6.38,674,741,3317.0,67.5,5,0,0,0
270,home_improvement,0.1361,425.0,107925.1,20.49,708,3750,34228.0,56.1,0,0,0,0
271,small_business,0.1625,321.54,51846.28,13.16,679,3696,3790.0,45.3,1,0,0,1
272,small_business,0.1213,525.17,50600.01,5.34,741,2262,5254.0,24.9,0,0,0,0
273,all_other,0.1456,256.01,35487.67,21.91,673,2048,18088.0,54.7,3,0,0,0
274,major_purchase,0.1033,136.96,25165.62,2.55,701,4783,10505.0,36.0,0,1,0,0
275,all_other,0.0763,103.21,19121.6,3.23,736,3214,6661.0,40.5,0,0,0,0
276,debt_consolidation,0.1933,317.56,47437.36,18.41,650,1651,16856.0,66.5,8,0,0,0
277,educational,0.0787,347.06,110306.35,2.39,784,3560,185.0,20.9,1,0,0,0
278,home_improvement,0.1269,658.41,61326.3,23.68,685,6366,33889.0,51.8,0,0,0,0
279,credit_card,0.1385,217.43,32384.97,22.47,656,10916,10961.0,90.1,3,1,0,0
280,debt_consolidation,0.1361,442.11,44275.16,24.78,690,4500,37715.0,70.2,0,0,0,0
281,major_purchase,0.078,200.46,76252.43,10.12,754,5983,25156.0,45.2,1,0,0,0
282,credit_card,0.1149,235.85,14894.01,20.48,722,9109,12632.0,56.4,0,0,0,0
283,credit_card,0.1589,210.01,22192.26,5.59,670,4434,6020.0,31.7,0,1,0,0
284,debt_consolidation,0.1232,488.98,35545.02,7.37,723,4938,10590.0,43.5,0,1,0,1
285,major_purchase,0.0637,31.29,26695.04,2.04,787,5972,1492.0,4.7,1,0,0,0
286,educational,0.1337,184.36,70878.44,14.11,681,4445,16015.0,66.5,4,0,0,1
287,major_purchase,0.1405,256.94,49935.77,15.97,664,3105,4322.0,51.1,2,0,0,0
288,credit_card,0.0895,382.49,85343.01,10.91,743,4593,17176.0,40.8,1,0,0,0
289,small_business,0.1272,157.96,57930.08,4.91,721,5517,8104.0,43.9,0,2,0,0
290,all_other,0.0928,230.15,62301.96,2.09,734,3309,24594.0,57.0,0,0,0,0
291,credit_card,0.0894,188.85,73686.99,15.82,702,8735,22568.0,76.7,1,0,0,0
292,debt_consolidation,0.1995,421.28,55582.63,9.51,676,4339,28114.0,95.4,1,0,0,0
293,credit_card,0.112,181.1,36838.96,14.34,675,3551,29558.0,33.1,2,0,0,0
